Problem,Method,Best Set
Label-permuted CIFAR-10,SGDW,"α = 0.01, λ = 0.001"
Label-permuted CIFAR-10,S&P,"α = 0.01, σ = 0.01, λ = 0.001"
Label-permuted CIFAR-10,PGD,"α = 0.001, σ = 0.01"
Label-permuted CIFAR-10,AdamW,"α = 0.001, β₁ = 0.0, β₂ = 0.9999, ϵ = 10⁻⁸, λ = 0.01"
Label-permuted CIFAR-10,S-EWC,"α = 0.01, β_I = 0.9999, β_w = 0.999, κ = 10.0"
Label-permuted CIFAR-10,S-MAS,"α = 0.01, β_I = 0.9999, β_w = 0.999, κ = 10.0"
Label-permuted CIFAR-10,S-SI,"α = 0.001, β_I = 0.99, β_w = 0.99, κ = 0.01"
Label-permuted CIFAR-10,S-RWalk,"α = 0.001, β_I = 0.9, β_w = 0.999, κ = 10.0"
Label-permuted CIFAR-10,UPGD-W,"α = 0.01, σ = 0.001, β_u = 0.999, λ = 0.0"
Label-permuted CIFAR-10,N-UPGD-W,"α = 0.01, σ = 0.01, β_u = 0.99, λ = 0.001"
Toy Problem 1,SGD,"α = 0.01"
Toy Problem 1,PGD,"α = 0.01, σ = 0.1"
Toy Problem 1,S&P,"α = 0.01, σ = 1.0, λ = 0.1"
Toy Problem 1,UPGD,"α = 0.01, σ = 0.0001, β_u = 0.9"
Toy Problem 1,N-UPGD,"α = 0.01, σ = 0.1, β_u = 0.999"
Toy Problem 1,Reference,"α = 0.01"
Toy Problem 2,SGD,"α = 0.01"
Toy Problem 2,PGD,"α = 0.01, σ = 0.1"
Toy Problem 2,S&P,"α = 0.01, σ = 1.0, λ = 0.1"
Toy Problem 2,UPGD,"α = 0.01, σ = 0.1, β_u = 0.9"
Toy Problem 2,N-UPGD,"α = 0.01, σ = 0.1, β_u = 0.999"
Toy Problem 2,Reference,"α = 0.01"
Input-permuted MNIST,SGDW,"α = 0.001, λ = 0.001"
Input-permuted MNIST,S&P,"α = 0.001, σ = 0.1, λ = 0.01"
Input-permuted MNIST,PGD,"α = 0.001, σ = 0.1"
Input-permuted MNIST,AdamW,"α = 0.0001, β₁ = 0.0, β₂ = 0.99, ϵ = 10⁻⁸, λ = 0.0"
Input-permuted MNIST,S-EWC,"α = 0.001, β_I = 0.9999, β_w = 0.99, κ = 0.001"
Input-permuted MNIST,S-MAS,"α = 0.001, β_I = 0.9999, β_w = 0.999, κ = 0.1"
Input-permuted MNIST,S-SI,"α = 0.001, β_I = 0.9999, β_w = 0.999, κ = 0.1"
Input-permuted MNIST,S-RWalk,"α = 0.001, β_I = 0.99, β_w = 0.999, κ = 10.0"
Input-permuted MNIST,UPGD-W,"α = 0.01, σ = 0.1, β_u = 0.9999, λ = 0.01"
Input-permuted MNIST,N-UPGD-W,"α = 0.001, σ = 0.1, β_u = 0.9, λ = 0.01"
Label-permuted EMNIST,SGDW,"α = 0.01, λ = 0.0001"
Label-permuted EMNIST,S&P,"α = 0.01, σ = 0.01, λ = 0.001"
Label-permuted EMNIST,PGD,"α = 0.01, σ = 0.01"
Label-permuted EMNIST,AdamW,"α = 0.0001, β₁ = 0.0, β₂ = 0.9999, ϵ = 10⁻⁸, λ = 0.1"
Label-permuted EMNIST,S-EWC,"α = 0.01, β_I = 0.999, β_w = 0.999, κ = 1.0"
Label-permuted EMNIST,S-MAS,"α = 0.01, β_I = 0.999, β_w = 0.999, κ = 10.0"
Label-permuted EMNIST,S-SI,"α = 0.01, β_I = 0.9, β_w = 0.9, κ = 0.1"
Label-permuted EMNIST,S-RWalk,"α = 0.01, β_I = 0.9, β_w = 0.999, κ = 0.1"
Label-permuted EMNIST,UPGD-W,"α = 0.01, σ = 0.001, β_u = 0.9, λ = 0.0"
Label-permuted EMNIST,N-UPGD-W,"α = 0.01, σ = 0.01, β_u = 0.999, λ = 0.001"
Label-permuted mini-ImageNet,SGDW,"α = 0.01, λ = 0.001"
Label-permuted mini-ImageNet,S&P,"α = 0.01, σ = 0.01, λ = 0.001"
Label-permuted mini-ImageNet,PGD,"α = 0.01, σ = 0.01"
Label-permuted mini-ImageNet,AdamW,"α = 0.0001, β₁ = 0.9, β₂ = 0.9999, ϵ = 10⁻⁸, λ = 0.1"
Label-permuted mini-ImageNet,S-EWC,"α = 0.01, β_I = 0.999, β_w = 0.999, κ = 1.0"
Label-permuted mini-ImageNet,S-MAS,"α = 0.01, β_I = 0.999, β_w = 0.999, κ = 10.0"
Label-permuted mini-ImageNet,S-SI,"α = 0.001, β_I = 0.9, β_w = 0.99, κ = 0.01"
Label-permuted mini-ImageNet,S-RWalk,"α = 0.01, β_I = 0.99, β_w = 0.999, κ = 0.1"
Label-permuted mini-ImageNet,UPGD-W,"α = 0.01, σ = 0.001, β_u = 0.9, λ = 0.0"
Label-permuted mini-ImageNet,N-UPGD-W,"α = 0.01, σ = 0.01, β_u = 0.999, λ = 0.0001"
